R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
300.57;286.33;62.42;66.22;41.33;262.99;24.2;84.57;297.48;61.51;317.2;300.16;44.2;283.06;288.97;47.95;51.52;288.27;283.85;95.64;278.38;347.88;65.85;341.15;64.87;151.74;62.65;53.41;68.38;358.54;85.52;70.63;71.66;333.97;340.15;317.54;41.36;102.04;49.13;309.35;248.19;40.78
354.23;190.64;2.59;60.12;128.17;242.8;318.52;75.73;238.37;64.47;40.43;289.46;29.91;306.33;263;41.62;80.14;271.05;284.39;67.93;275.65;342.52;70.05;337.62;73;141.89;70.67;52.82;65.08;358.55;81.01;68.42;69.02;334.59;330.6;313.06;40.17;98.29;46.76;319.25;244.38;32.71
82.84;275.37;268.13;308.7;117.78;136.35;318.59;29.58;212.54;53.04;77.88;277.82;35.25;305.56;256.75;36.81;54.71;249.98;287.8;67.13;271.23;339.8;64.92;337.41;61.81;153.11;60.28;49.82;72.46;356.91;79.47;73.37;72.6;337.03;331.68;308.95;39.94;103;46.93;317.18;245.78;33.15
88.32;328.06;273.23;312.09;84.64;123.95;321.22;15.05;209.65;38.86;73.13;268.02;36.45;304.21;257.96;35.69;47.17;242.56;289.55;63.25;268.35;332.27;76.43;328.42;74.47;158.33;73.8;51.8;84.94;356.33;82.18;71.78;76.86;339.89;327.47;306.12;42.11;102.23;48.97;312.43;247.54;36.7
103.82;335.02;265.28;311.16;69.18;118.19;330.32;16.61;209.03;34.2;57.75;264.69;33.83;296.58;263.97;40.21;29.83;240.29;291.02;67.94;265.65;318.96;62.12;311.89;78.59;160.71;80.04;45.69;94.28;351.67;68.47;77.17;72.84;336.95;326.72;301.9;43.97;103;52.8;302.7;258.26;44.04
86.61;338.42;280.23;323.85;37.44;127.73;350.74;10.91;214.7;20.5;19.91;268.57;27.96;280.85;282.59;43.39;7.78;237.16;293.16;74.48;263.83;314.46;58.96;314.78;79.55;163.67;82.54;43.95;98.92;350.37;69.42;73.07;75.83;338.46;325.28;300.39;47.12;102.48;57.47;298.54;265.66;48.91
86.46;340.91;276.11;326.88;30.01;125.39;352.19;12.62;216.56;17.22;12.7;271.04;27.62;281.17;281.79;41.71;14.17;238.89;293.01;77.83;264.57;310.26;57.82;312.08;85.53;167.83;89.08;44.21;104.99;347.29;71.17;60.73;72.58;339.55;329.08;308.39;52.94;88.95;64.12;288.94;295.94;59.07
93.95;355.44;277.1;311.79;22.55;113.52;355.86;305.04;231.89;17.56;321.71;311.95;9.35;276.36;309.7;43.16;331.34;267.94;300.5;126.57;285.19;312.8;56.82;312.44;275.22;172.59;278.12;39.83;115.84;340.17;67.16;40.35;64.31;336.78;340.42;318.65;56.46;74.98;70.49;285.57;321.39;63.88
88.38;350.14;284.23;329.75;52.88;138.99;38.68;343.22;273.96;242.56;296.56;355.43;338.46;277.87;341.2;40.37;322.19;289.31;320.69;139.5;309.63;315.69;60.3;313.81;299.76;172.01;299.57;35.91;113.43;336.15;68.81;29.14;62.95;334.74;343.93;320.63;56.82;65.29;72.41;286.04;331.25;64.49
85.51;340.5;293.69;335.07;40.36;147.81;22.21;328.82;277.02;344.91;296.18;359.02;345.21;282.37;341.24;39.07;322.19;290.08;323.33;140.12;311.86;316.09;60.99;314.67;303.17;171.48;301.99;33.03;113.49;332.54;68.58;24.43;62.59;334.17;344.9;319.16;56.95;63.91;73.56;286.63;334.4;65.42
